"URI","Label","Definition","Notation","Status","AcceptedDate","owl:sameAs"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/1650","Boreal Baltic narrow inlets","","1650","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10035"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2100","Sea dunes of the Atlantic, North Sea and Baltic coasts","","2100","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10037"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2110","Embryonic shifting dunes","","2110","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10038"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2120","Shifting dunes along the shoreline with Ammophila arenaria ('white dunes')","","2120","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10039"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2130","Fixed coastal dunes with herbaceous vegetation ('grey dunes')","","2130","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10040"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2140","Decalcified fixed dunes with Empetrum nigrum","","2140","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10041"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2150","Atlantic decalcified fixed dunes (Calluno-Ulicetea)","","2150","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10042"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2160","Dunes with Hippophaë rhamnoides","","2160","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10043"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2170","Dunes with Salix repens ssp argentea (Salicion arenariae)","","2170","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10044"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2180","Wooded dunes of the Atlantic, Continental and Boreal region","","2180","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10045"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2190","Humid dune slacks","","2190","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10046"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/21A0","Machairs (* in Ireland)","","21A0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10047"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2200","Sea dunes of the Mediterranean coast","","2200","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10048"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2210","Crucianellion maritimae fixed beach dunes","","2210","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10049"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2220","Dunes with Euphorbia terracina","","2220","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10050"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2230","Malcolmietalia dune grasslands","","2230","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10051"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2240","Brachypodietalia dune grasslands with annuals","","2240","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10052"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2250","Coastal dunes with Juniperus spp","","2250","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10053"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2260","Cisto-Lavenduletalia dune sclerophyllous scrubs","","2260","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10054"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2270","Wooded dunes with Pinus pinea and/or Pinus pinaster","","2270","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10055"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2300","Inland dunes, old and decalcified","","2300","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10056"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2310","Dry sand heaths with Calluna and Genista","","2310","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10057"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2320","Dry sand heaths with Calluna and Empetrum nigrum","","2320","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10058"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2330","Inland dunes with open Corynephorus and Agrostis grasslands","","2330","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10059"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/2340","Pannonic inland dunes","","2340","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10060"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3100","Standing water","","3100","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10062"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3110","Oligotrophic waters containing very few minerals of sandy plains (Littorelletalia uniflorae)","","3110","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10063"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3120","Oligotrophic waters containing very few minerals generally on sandy soils of the West Mediterranean, with Isoetes spp","","3120","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10064"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3130","Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoeto-Nanojuncetea","","3130","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10065"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3140","Hard oligo-mesotrophic waters with benthic vegetation of Chara spp","","3140","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10066"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3150","Natural eutrophic lakes with Magnopotamion or Hydrocharition -type vegetation","","3150","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10067"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3160","Natural dystrophic lakes and ponds","","3160","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10068"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3170","Mediterranean temporary ponds","","3170","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10069"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3180","Turloughs","","3180","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10070"
