Family;Horticultural name;Taxon category;Confidence level determination;Retailer 1;Retailer 2;Retailer 3;Retailer 4;Retailer 5;Plant producer 1;Plant producer 2;Unknown Plant producer;Retailer 2*;Retailer 3*;Retailer 4;Retailer 5;Retailer 6;Retailer 7;Retailer 8;Retailer 9;Retailer 10;Retailer 11;Plant producer 1;Plant producer 2;Plant producer 3;Plant producer 4;Plant producer 5;Unknown Plant producer;Belgian Consensus List;Belgian Communication List;European Union List
Cyperaceae;Cyperus longus;species;high;x;x;;x;x;x;x;;;;x;x;x;x;;;x;x;;x;;;;x;;;
Cyperaceae;Cyperus papyrus 'Nanus';cultivar;high;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Cyperaceae;Cyperus papyrus 'Perkamentus';cultivar;high;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Orchidaceae;Dactylorhiza x grandis;hybrid;medium;;;;;;;;;;;;;;;x;;;;x;;;;;;;;
Saxifragaceae;Darmera peltata;species;high;;x;x;x;x;;x;;;;x;x;;;x;;x;x;;x;;;;;;;
Hydrocharitaceae;Egeria densa ;species;high;x;x;x;x;x;x;x;x;x;x;x;x;;;;x;x;;;x;;;;x;x;;
Pontederiaceae;Eichhornia crassipes;species;high;x;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;x
Cyperaceae;Eleocharis acicularis;species;high;x;x;;x;x;x;x;;;;;;;;;;;;;;;;;;;;
Cyperaceae;Eleocharis palustris;species;high;x;x;;x;x;x;x;;;;;;;;;;;x;;x;;;;;;;
Hydrocharitaceae;Elodea canadensis;species;high;;;;;;;;;x;x;;;;;;;;;;x;;;;;;;
Orchidaceae;Epipactis palustris;species;high;;;;;;;;;;;x;x;;;;;;x;;x;;x;;;;;
Equisetaceae;Equisetum fluviatile;species;medium;;x;x;x;x;;x;;;;x;x;;;;;;;;x;;;;;;;
Equisetaceae;Equisetum hyemale;species;medium;x;x;x;x;x;x;x;;;;x;x;;x;x;x;;;;x;;;;;;;
Equisetaceae;Equisetum scirpoides;species;medium;x;x;x;x;;x;x;;;;x;x;;;x;;;;;x;;;;;;;
Cyperaceae;Eriophorum angustifolium;species;high;x;x;x;x;x;x;x;;;;x;;;;x;;;x;;x;;;;;;;
Cyperaceae;Eriophorum chamissonis;species;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Phrymaceae;Erythranthe cuprea;species;high;x;;;;;x;;;;;;;;;x;;;;x;;;;;;;;
Phrymaceae;Erythranthe cuprea 'Red Emperor';cultivar;high;;;;;;;;;;;;;;;x;;;;x;;;;;;;;
Phrymaceae;Erythranthe guttata;species;medium;x;;;x;x;x;x;;;;x;x;x;;;;;;;x;;;;x;x;;
Euphorbiaceae;Euphorbia palustris;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Rosaceae;Filipendula ulmaria;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Fontinalaceae;Fontinalis antipyretica;species;high;;x;x;x;;;x;x;;;;;;;;;;;;;;;;;;;
Liliaceae;Fritillaria meleagris;species;high;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;
Geraniaceae ;Geranium palustre;species;high;;x;x;x;x;;x;;;;x;;;;x;;;;;x;;;;;;;
Rosaceae;Geum rivale;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Poaceae ;Glyceria maxima;species;high;;;;;;;;;;;;;;;;;;x;;x;;;;;;;
Poaceae ;Glyceria maxima 'Variegata';cultivar;high;x;x;;x;x;x;x;;;;x;;;x;;x;x;x;;x;;;;;;;
Plantaginaceae;Gratiola officinalis;species;high;x;x;x;x;x;x;x;;;;x;x;x;;x;;;x;x;x;;;;;;;
Gunneraceae;Gunnera tinctoria;species;high;x;x;x;x;x;x;x;;x;;x;;x;;x;x;;;x;x;;;;x;;;x
Iridaceae;Hesperantha coccinea ;species;high;;;;;x;;x;;;;;;x;;;;;;;;;;x;;;;
Iridaceae;Hesperantha coccinea 'Alba';cultivar;high;x;x;;x;x;x;x;;;;x;x;;x;x;;;;x;x;;;;;;;
Iridaceae;Hesperantha coccinea 'Major';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;x;x;;;;x;x;;;;;;;
Iridaceae;Hesperantha coccinea 'Mrs Hegarty';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Malvaceae;Hibiscus palustris;species;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Plantaginaceae;Hippuris vulgaris;species;high;x;x;x;x;x;x;x;;;;x;x;;;;x;x;;;x;;;;;;;
Primulaceae ;Hottonia palustris;species;high;x;x;x;;;x;x;;;;x;;;;x;x;;;x;x;;;;;;;
Saururaceae;Houttuynia cordata;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;;;x;;;;;;;
Saururaceae;Houttuynia cordata 'Chameleon';cultivar;high;x;x;x;x;x;x;x;;;;x;x;x;;x;;;;x;x;;;x;;;;
Saururaceae;Houttuynia cordata 'Variegata' ;cultivar;high;;;;;x;;x;;;;;;;;;;;;;;;;;;;;
Hydrocharitaceae;Hydrocharis morsus-ranae;species;high;;x;;;x;;x;;;;;;;;;;;;;;;;;;;;
Alismataceae ;Hydrocleys nymphoides ;species;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Araliaceae;Hydrocotyle novae-zeelandiae;species;high;x;x;x;x;;x;x;;;;;;;;;;;;;;;;;;;;
