Family;Horticultural name;Taxon category;Confidence level determination;Retailer 1;Retailer 2;Retailer 3;Retailer 4;Retailer 5;Plant producer 1;Plant producer 2;Unknown Plant producer;Retailer 2*;Retailer 3*;Retailer 4;Retailer 5;Retailer 6;Retailer 7;Retailer 8;Retailer 9;Retailer 10;Retailer 11;Plant producer 1;Plant producer 2;Plant producer 3;Plant producer 4;Plant producer 5;Unknown Plant producer;Belgian Consensus List;Belgian Communication List;European Union List
Nymphaeaceae;Nymphaea 'Texas Dawn';hybrid;high;;;;;;;;;;;;x;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Virginalis';hybrid;high;;;;;x;;x;;;;;;;x;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Wanvisa';hybrid;high;x;;;;;x;;;;;x;x;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Yellow Sensation';hybrid;high;;;;x;;;x;;;;x;;;;x;;;x;;x;;;;;;;
Menyanthaceae;Nymphoides peltata;species;high;x;x;x;x;x;x;x;;;;;x;;;;x;;x;;x;;;;;;;
Apiaceae;Oenanthe aquatica;species;high;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;
Apiaceae;Oenanthe javanica 'Flamingo';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Araceae;Orontium aquaticum;species;high;x;x;x;x;x;x;x;;;;x;;;;x;;;x;x;x;;;;;;;
Araceae;Peltandra virginica;species;high;x;;;;;x;;;;;;;;;x;;;;x;;;;;;;;
Polygonaceae;Persicaria amphibia;species;high;x;x;;x;;x;x;;;;x;;;;x;x;;x;x;x;;;;;;;
Polygonaceae;Persicaria bistorta;species;high;;x;x;x;;;x;;;;x;x;;;;;;x;;x;;;;;;;
Asteraceae;Petasites hybridus;species;high;x;x;x;x;x;x;x;;;;x;x;;;;;;x;;x;;;;;;;
Poaceae;Phalaris arundinacea 'Picta';cultivar;high;;x;;x;;;x;;;;x;;;;x;;;x;;x;;;;;;;
Poaceae;Phragmites australis;species;high;x;x;;x;x;x;x;;;;x;x;x;;;;;x;;x;;;;x;;;
Poaceae;Phragmites australis 'Variegatus';cultivar;high;x;;;x;;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Phyllanthaceae;Phyllanthus fluitans;species;high;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;
Araceae;Pistia stratiotes;species;high;x;x;x;x;x;x;x;x;;x;x;x;;;x;x;;;;x;;;;x;;;
Pontederiaceae;Pontederia cordata;species;high;x;x;x;x;x;x;x;;;;x;x;;x;x;;;x;x;x;;;;;;;
Pontederiaceae;Pontederia cordata 'White Pike';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;;x;x;;;;;;;
Pontederiaceae;Pontederia cordata 'Pink Pons';cultivar;high;;x;x;;;;x;;;;x;;;;;;;;;x;;;;;;;
Potamogetonaceae;Potamogeton lucens;species;high;;;;x;;;x;;;;x;;;;;;;;;x;;;;;;;
Potamogetonaceae;Potamogeton natans;species;high;;x;;;;;x;x;;;;;;;;;;;;;;;;;;;
Potamogetonaceae;Potamogeton perfoliatus;species;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Rosaceae;Potentilla palustris;species;high;x;x;x;x;x;x;x;;;;x;x;;;;;;x;;x;;;;;;;
Primulaceae;Primula florindae;species;high;;x;x;x;x;;x;;;;x;x;;;;;;x;;x;;;;;;;
Primulaceae;Primula rosea;species;high;;x;x;x;x;;x;;;;x;x;;x;x;;;x;x;x;;;;;;;
Primulaceae;Primula vialii;species;high;x;;x;x;x;x;x;;;;x;;;x;x;;;;x;x;;;;;;;
Ranunculaceae;Ranunculus aquatilis;species;high;;x;x;;;;x;x;;;;x;;;;;;x;;x;;;;;;;
Ranunculaceae;Ranunculus flammula;species;high;x;x;x;x;x;x;x;;;;x;x;;;;;x;x;;x;;;;;;;
Ranunculaceae;Ranunculus lingua;species;high;x;x;x;x;;x;x;;;;x;x;;x;;;;x;;x;;;;;;;
Cyperaceae ;Rhynchospora colorata;species;high;;x;;;;;x;;;;;;;;;;;x;;x;;;;;;;
Brassicaceae;Rorippa amphibia;species;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
‎Lythraceae;Rotala indica;species;high;;x;;x;x;;x;;;;;;;;;;;x;;x;;;;;;;
‎Lythraceae;Rotala rotundifolia;species;high;;x;;x;x;;x;;;;;x;;;;;;;;;;x;;x;;;
Polygonaceae;Rumex sanguineus;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Alismataceae;Sagittaria graminea;species;high;x;x;x;x;;x;x;;;;x;x;;;;;;;;x;;;;;;;
Alismataceae;Sagittaria latifolia;species;high;x;;;;;x;;;;;x;;;;x;;;x;x;x;;x;;;;;
Alismataceae;Sagittaria sagittifolia;species;high;;x;x;;;;x;;;;;;x;;x;;;;x;;;;x;;;;
Salviniaceae;Salvinia molesta;species;high;x;x;;x;x;x;x;;x;;x;;;;;;;;;x;;;;;;;x
Sarraceniaceae;Sarracenia 'Barba';hybrid;low;;x;x;x;x;;x;;;;x;x;;;;;;x;;x;;;;;;;
Sarraceniaceae;Sarracenia x catesbaei;hybrid;low;;x;x;x;x;;x;;;;;;;;;;;;;;;;;;;;
Sarraceniaceae;Sarracenia 'Farnhamii';hybrid;low;;;x;x;;;x;;;;x;x;;;x;x;;x;;x;;;;;;;
Sarraceniaceae;Sarracenia 'Maroon';hybrid;medium;;;x;x;;;x;;;;;x;;;;;;x;;x;;;;;;;
Sarraceniaceae;Sarracenia psittacina;species;high;;x;x;x;x;;x;;;;;;;;;;;;;;;;;;;;
Sarraceniaceae;Sarracenia purpurea;species;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Saururaceae;Saururus cernuus;species;high;x;x;x;x;x;x;x;;;;x;x;;;;;;;;x;;;;;;;
Cyperaceae;Schoenoplectus lacustris ;species;medium;;x;;x;x;;x;;;;x;x;;;;;;;;x;;;;;;;
Cyperaceae;Schoenoplectus lacustris 'Albescens';cultivar;medium;;x;x;;;;x;;;;x;x;;;x;;;;x;x;;;;;;;
Cyperaceae;Schoenoplectus tabernaemontani 'Albescens';cultivar;medium;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Cyperaceae;Schoenoplectus tabernaemontani 'Zebrinus';cultivar;medium;;x;;x;;;x;;;;;x;;x;;;;x;;x;;;;;;;
Cyperaceae;Scirpus isolepsis;genus;high;;;;x;;;x;;;;;;;x;x;;;x;;x;;;;;;;
Iridaceae ;Sisyrinchium californicum;species;high;x;x;;x;x;x;x;;;;;;;x;x;;;;x;x;;;;;;;
Apiaceae;Sium latifolium ;species;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Sparganiaceae;Sparganium erectum;species;high;x;x;;x;x;x;x;x;;;x;;;x;x;;;x;x;x;;;;;;;
Orchidaceae;Spiranthes cernua 'Chadd's Ford' x S. odorata;hybrid;medium;;;;;;;;;;;x;x;;;x;;;x;;x;;x;;;;;
Lamiaceae;Stachys palustris;species;high;x;x;;x;;x;x;;;;x;x;;x;x;;;x;x;x;;;;;;;
Hydrocharitaceae;Stratiotes aloides;species;high;;x;;;;;x;x;;;x;;;x;x;;;x;;x;;;;x;;;
Boraginaceae;Symphytum officinale;species;high;;x;x;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
Marantaceae;Thalia dealbata;species;high;x;x;x;;;x;x;;;;;x;;x;x;;;x;x;x;;;;;;;
Marantaceae;Thalia geniculata 'Rheumoides';cultivar;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Thelypteridaceae;Thelypteris palustris ;species;high;x;;;;;x;;;;;x;;;;x;;;x;;x;;;;;;;
Lythraceae;Trapa natans;species;high;;x;;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
Amaryllidaceae ;Tulbaghia violacea;species;high;;;x;x;;;x;;;;;;;;;;;x;;;;x;;;;;
Typhaceae;Typha angustifolia;species;high;;x;;x;x;;x;;;;x;x;;x;x;;x;x;x;x;;x;;;;;
Typhaceae;Typha latifolia;species;high;x;x;;x;;x;x;;;;x;x;;;x;;x;x;x;x;;;;;;;
Typhaceae;Typha latifolia 'Variegata';cultivar;high;x;x;;x;x;x;x;;;;;x;;;;;;x;;x;;;;;;;
Typhaceae;Typha laxmannii;species;high;;x;x;x;;;x;;;;x;x;;;;;;x;;x;;;;;;;
Typhaceae;Typha minima;species;high;;x;x;x;x;;x;;;;x;x;;x;x;x;x;x;x;x;;;;;;;
Caprifoliaceae;Valeriana officinalis;species;high;x;x;x;x;x;x;x;;;;x;;;;;;;x;;x;;;;;;;
Hydrocharitaceae;Vallisneria;genus;low;x;x;;;;x;x;;x;;;;;;;;;;;x;;;;;;;
Plantaginaceae;Veronica beccabunga;species;high;x;x;x;;;x;x;;;;x;;;x;x;;;x;x;x;;;;;;;
Araceae;Zantedeschia aethiopica;species;high;x;x;x;x;x;x;x;;;;x;x;x;x;;x;;x;;x;;;;x;;;
Amaryllidaceae;Zephyranthes candida;species;high;;x;x;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
