Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Cochliobolus carbonum,maize leaf spot,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,85,1,37,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14683
Cochliobolus heterostrophus,southern leaf spot,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,182,2,49,16,no data,,no data,https://www.cabi.org/cpc/datasheet/14689
Cochliobolus lunatus,"head mould of grasses, rice and sorghum",Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,186,1,62,130,no data,,no data,https://www.cabi.org/cpc/datasheet/14690
Cochliobolus miyabeanus,brown leaf spot of rice,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,126,1,43,16,no data,,no data,https://www.cabi.org/cpc/datasheet/14691
Cocksfoot mottle virus,Cocksfoot mottle virus,Viruses,Full datasheet,Full datasheet,"pest,invasiveSpecies",Virus,,,,,Unassigned virus family,invasive,13,2,12,3,,no data,,https://www.cabi.org/cpc/datasheet/17218; https://www.cabi.org/isc/datasheet/17218
Cocksfoot streak mosaic virus,,Viruses,,Basic datasheet,pest,Virus,,,,,Potyviridae,,1,1,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118905
Codium fragile subsp. tomentosoides,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Chlorophyta,Bryopsidophyceae,Bryopsidales,Codiaceae,invasive,44,2,30,0,,no data,,https://www.cabi.org/isc/datasheet/107769
Coleophora frischella,clover seed moth,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,,5,1,4,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14868
Coleophora laricella,larch casebearer,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,,21,2,16,12,,no data,no data,https://www.cabi.org/cpc/datasheet/14870
Coleophora serratella,birch casebearer,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,,12,1,9,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14876
Coleotechnites piceaella,spruce leaf miner,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,,8,1,7,3,,no data,no data,https://www.cabi.org/cpc/datasheet/14238
Colletotrichum boninense,,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,20,1,11,46,no data,no data,no data,https://www.cabi.org/cpc/datasheet/108203
Colletotrichum circinans,onion smudge,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,69,3,35,10,no data,,no data,https://www.cabi.org/cpc/datasheet/14897
Colletotrichum dematium,leaf spot,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,126,2,49,60,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14902
Colletotrichum fioriniae,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,29,1,13,23,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118779
Colletotrichum fructicola,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,29,1,9,27,no data,no data,no data,https://www.cabi.org/cpc/datasheet/120333
Colletotrichum godetiae,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,7,1,7,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14911
Colletotrichum graminicola,red stalk rot of cereals,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,139,2,58,12,no data,,no data,https://www.cabi.org/cpc/datasheet/14912
Colletotrichum lindemuthianum,anthracnose of bean,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,97,2,54,17,no data,,no data,https://www.cabi.org/cpc/datasheet/14918
Colletotrichum orbiculare,anthracnose of cucurbits,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,124,3,50,12,no data,,no data,https://www.cabi.org/cpc/datasheet/14917
Colletotrichum truncatum,soyabean anthracnose,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,145,1,52,65,no data,,no data,https://www.cabi.org/cpc/datasheet/14905
Collomia grandiflora,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Solanales,Polemoniaceae,invasive,6,2,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/113405
Collybia fusipes,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,2,1,2,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14975
Colobopyga kewensis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Phoenicococcidae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113407
Colombian datura virus,,Viruses,,Basic datasheet,"pest,naturalEnemy",Virus,,,,,Potyviridae,,20,2,17,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/20113
Colomerus vitis,grape erineum mite (USA),Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,34,3,29,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/21865
Colpoma quercinum,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,,3,1,3,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/14943
Colpomenia peregrina,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Phaeophyta,Phaeophyceae,,,invasive,17,3,13,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113409
Columnea latent viroid,,Viruses,,Basic datasheet,pest,Virus,,,,,Pospiviroidae,,9,2,7,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/108093
Congeria cochleata,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Bivalvia,Veneroida,Dreissenidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113418
Congeria leucophaeta,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Bivalvia,Veneroida,Dreissenidae,invasive,2,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/113419
Coniella australiensis,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,,16,2,12,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/109461
Coniella diplodiella,grapevine white rot,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,,51,1,28,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15183
Coniothyrium wernsdorffiae,rose brand canker,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,,29,3,21,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15181
Conopodium majus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Apiales,Apiaceae,invasive,4,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113422
Conorhynchus mendicus,beet weevil,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,5,1,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15211
Contarinia baeri,European pineneedle midge,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,7,1,4,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15217
Contarinia cuniculator,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,6,1,6,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/122034
Contarinia medicaginis,"midge, alfalfa flower",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,5,1,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15227
Contarinia nasturtii,swede midge,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,10,2,7,24,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15229
Contarinia pisi,"midge, pea",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,7,1,7,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15232
Contarinia pyrivora,pear midge,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,9,2,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15234
Contarinia quinquenotata,Hemerocallis gall midge,Invertebrates,Basic datasheet,Basic datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,invasive,13,2,13,2,,no data,no data,https://www.cabi.org/cpc/datasheet/113433; https://www.cabi.org/isc/datasheet/113433
Convolvulus betonicifolius,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Solanales,Convolvulaceae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113436
Convolvulus elegantissimus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Solanales,Convolvulaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/113437
Conyza blakei,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113442
Corchorus hirtus,Orinoco jute,Plants,Full datasheet,Full datasheet,"crop,pest,documentedSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Tiliaceae,,69,1,25,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/84664666; https://www.cabi.org/isc/datasheet/84664666
Coregonus albula,vendace,Vertebrates,Full datasheet,,"invasiveSpecies,naturalEnemy,hostAnimal",Eukaryota,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,invasive,22,3,19,0,,no data,no data,https://www.cabi.org/isc/datasheet/88207
Corella eumyota,orange-tipped sea squirt,Invertebrates,Full datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Ascidiacea,Enterogona,Corellidae,invasive,17,3,14,0,,no data,,https://www.cabi.org/isc/datasheet/113454
Corispermum declinatum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Chenopodiaceae,invasive,7,1,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/113463
Corispermum leptopterum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Chenopodiaceae,invasive,10,2,10,0,,no data,no data,https://www.cabi.org/isc/datasheet/113465
Corispermum marschallii,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Chenopodiaceae,invasive,4,2,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113466
Cornucopiae cucullatum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113472
Coronilla valentina,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,16,1,8,0,,no data,no data,https://www.cabi.org/isc/datasheet/113474
Corophium robustum,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/113480
Cortaderia richardii,Toetoe,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,5,1,4,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113485
Corticaria ferruginea,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lathridiidae,invasive,2,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/113487
Corticaria fulva,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lathridiidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/113488
Corticaria pubescens,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lathridiidae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113489
Corticaria serrata,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lathridiidae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113490
Corvus splendens,house crow,Vertebrates,Full datasheet,,"invasiveSpecies,hostAnimal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Corvidae,invasive,53,1,19,0,,no data,,https://www.cabi.org/isc/datasheet/15463
Corynespora cassiicola,target leaf spot of tomato,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,,174,3,54,56,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15467
Corythauma ayyari,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Tingidae,,27,1,6,5,,no data,no data,https://www.cabi.org/cpc/datasheet/122576
Corythuca ayyari,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Tingidae,,9,1,4,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/119951
Corythucha arcuata,oak lace bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Tingidae,,37,2,25,21,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16263
Cosmia trapezina,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,9,2,9,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16572
Cothurnia anomala,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Oligohymenophorea,Sessilida,Vaginicolidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113498
Cotoneaster acuminatus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Rosaceae,invasive,6,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113499
Cotoneaster roseus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Rosaceae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113543
Cotula dioica,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,3,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113557
Cotyledon orbiculata,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Crassulaceae,invasive,10,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/113561
Cowpea aphid-borne mosaic virus,,Viruses,Full datasheet,Full datasheet,"pest,invasiveSpecies",Virus,,,,,Potyviridae,invasive,62,1,20,18,no data,,,https://www.cabi.org/cpc/datasheet/15649; https://www.cabi.org/isc/datasheet/15649
Crassocephalum subscandens,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113567
Crassula pubescens,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Crassulaceae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/113576
Crassula tillaea,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Crassulaceae,invasive,6,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113578
Crenidorsum aroidephagus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,invasive,4,2,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/113585
Crepis biennis,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,6,1,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/113590
Crepis dioscoridis,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113593
Crepis micrantha,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,2,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/113595
Crepis vesicaria,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,8,2,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/113601
Crepis zacintha,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,13,2,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/113602
Cricotopus sylvestris,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,,8,1,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15950
Crioceris asparagi,asparagus beetle,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,8,2,5,1,,no data,no data,https://www.cabi.org/cpc/datasheet/16202
Crioceris duodecimpunctata,spotted asparagus beetle,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,11,2,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16203
Crocidosema plebejana,cotton tipworm,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,invasive,81,3,40,25,no data,,,https://www.cabi.org/cpc/datasheet/16130; https://www.cabi.org/isc/datasheet/16130
Crocosmia aurea,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Iridaceae,invasive,9,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113609
Crocus biflorus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Iridaceae,invasive,12,1,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/113613
Cruciata glabra,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Gentianales,Rubiaceae,invasive,17,1,15,0,,no data,no data,https://www.cabi.org/isc/datasheet/113629
Crumenulopsis sororia,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,invasive,11,3,9,8,,,,https://www.cabi.org/cpc/datasheet/16278; https://www.cabi.org/isc/datasheet/16278
Crupina vulgaris,bearded creeper,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,45,1,26,1,,no data,,https://www.cabi.org/cpc/datasheet/13697; https://www.cabi.org/isc/datasheet/13697
Cryptoblabes gnidiella,citrus pyralid,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,40,1,16,47,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16381
Cryptolestes pusilloides,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cucujidae,,6,1,5,1,,no data,no data,https://www.cabi.org/cpc/datasheet/16420
Cryptolestes pusillus,flat grain beetle,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cucujidae,,97,2,40,11,,no data,no data,https://www.cabi.org/cpc/datasheet/16421
Cryptomyzus galeopsidis,"currant, aphid, black",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,5,1,3,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16099
Cryptomyzus ribis,red currant aphid,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,24,3,18,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16100
Cryptophagus acutangulus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,invasive,4,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113669
Cryptophagus cellaris,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,invasive,8,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/113670
Cryptophagus fallax,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113673
Cryptophagus pilosus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,invasive,4,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113674
Cryptophagus subfumatus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cryptophagidae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/113678
Cryptophilus obliteratus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Languriidae,invasive,4,2,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/113680
Ctenarytaina eucalypti,blue gum psyllid,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,,invasive,31,2,25,9,,,no data,https://www.cabi.org/cpc/datasheet/16747; https://www.cabi.org/isc/datasheet/16747
Ctenarytaina spatulata,,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,,invasive,15,1,13,6,,no data,no data,https://www.cabi.org/cpc/datasheet/16823; https://www.cabi.org/isc/datasheet/16823
Cucullia umbratica,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,12,1,9,16,no data,no data,no data,https://www.cabi.org/cpc/datasheet/16902
Cucumber green mottle mosaic virus,,Viruses,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Virus,,,,,Virgoviridae,invasive,82,3,36,54,,,,https://www.cabi.org/cpc/datasheet/16951; https://www.cabi.org/isc/datasheet/16951
Cucurbit aphid-borne yellows virus,Cucurbit aphid-borne yellows,Viruses,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Virus,,,,,Luteoviridae,invasive,80,2,26,41,no data,,,https://www.cabi.org/cpc/datasheet/110067; https://www.cabi.org/isc/datasheet/110067
Cupressus arizonica,Arizona cypress,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Pinopsida,,Cupressaceae,invasive,40,1,28,0,,no data,no data,https://www.cabi.org/cpc/datasheet/17083; https://www.cabi.org/isc/datasheet/17083
Cupressus sempervirens,Mediterranean cypress,Plants,Full datasheet,,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Pinopsida,,Cupressaceae,invasive,63,1,30,0,,no data,,https://www.cabi.org/isc/datasheet/17105
Curtobacterium flaccumfaciens pv. poinsettiae,"stem streaks, leaf spots and blotches",Bacteria,,Basic datasheet,pest,Bacteria,,Actinobacteria [phylum],Actinobacteria,Actinomycetales,Microbacteriaceae,,14,1,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15341
Cuscuta scandens,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Solanales,Cuscutaceae,invasive,44,2,23,0,,no data,no data,https://www.cabi.org/isc/datasheet/113698
