Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Acherontia atropos,death's head hawkmoth,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,,20,3,10,12,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2643
Achillea crithmifolia,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,15,2,14,0,,no data,no data,https://www.cabi.org/isc/datasheet/112005
Achillea nobilis,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,10,1,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/112010
Achillea pannonica,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,10,1,10,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112011
Achillea punctata,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112013
Achnatherum brachychaetum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,3,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112018
Acizzia acaciaebaileyanae,cootamundra wattle psyllid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Psyllidae,,5,1,4,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2697
Acizzia jamatonica,,Invertebrates,Basic datasheet,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Psyllidae,,43,1,25,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2698
Acizzia uncatoides,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Psyllidae,,13,1,9,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2699
Acleris ferrugana,beech tortricids,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,,2,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2491
Acleris rhombana,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,,4,2,4,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2719
Aconitum variegatum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Ranunculales,Ranunculaceae,invasive,15,2,15,0,,no data,no data,https://www.cabi.org/isc/datasheet/112027
Acontia crocata,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112030
Acremonium furcatum,sugarcane wilt,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,1,1,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2974
Acridotheres tristis,common myna,Vertebrates,Full datasheet,,"invasiveSpecies,vectorOfPlantPest,naturalEnemy,hostAnimal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Sturnidae,invasive,94,2,27,0,,no data,,https://www.cabi.org/isc/datasheet/2994
Acronicta aceris,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,invasive,7,3,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/112033
