taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
7571428,Lathyrus grandiflorus,Cfb,Temperate oceanic climate,313,400,0.7825,2001-2025-A1FI
5405000,Olearia macrodonta,Cfb,Temperate oceanic climate,419,451,0.9290465631929047,2026-2050-A1FI
7571428,Lathyrus grandiflorus,Cfb,Temperate oceanic climate,313,400,0.7825,2026-2050-A1FI
5405000,Olearia macrodonta,Cfb,Temperate oceanic climate,419,451,0.9290465631929047,2051-2075-A1FI
7571428,Lathyrus grandiflorus,Cfb,Temperate oceanic climate,313,400,0.7825,2051-2075-A1FI
2705356,Eragrostis trichodes,Cfa,Humid subtropical climate,174,394,0.4416243654822335,2071-2100_Beck
2705356,Eragrostis trichodes,Cfa,Humid subtropical climate,174,394,0.4416243654822335,2051-2075-A1FI
8165465,Fumaria petteri,Csa,Hot-summer Mediterranean climate,185,273,0.6776556776556777,2076-2100-A1FI
2705356,Eragrostis trichodes,Cfa,Humid subtropical climate,174,394,0.4416243654822335,2076-2100-A1FI
8059665,Achillea crithmifolia,Cfb,Temperate oceanic climate,100,373,0.2680965147453083,2071-2100_Beck
2890983,Geranium maderense,Cfb,Temperate oceanic climate,197,354,0.556497175141243,2071-2100_Beck
8059665,Achillea crithmifolia,Cfb,Temperate oceanic climate,100,373,0.2680965147453083,2001-2025-A1FI
2890983,Geranium maderense,Cfb,Temperate oceanic climate,197,354,0.556497175141243,2001-2025-A1FI
8059665,Achillea crithmifolia,Cfb,Temperate oceanic climate,100,373,0.2680965147453083,2026-2050-A1FI
2890983,Geranium maderense,Cfb,Temperate oceanic climate,197,354,0.556497175141243,2026-2050-A1FI
8059665,Achillea crithmifolia,Cfb,Temperate oceanic climate,100,373,0.2680965147453083,2051-2075-A1FI
2890983,Geranium maderense,Cfb,Temperate oceanic climate,197,354,0.556497175141243,2051-2075-A1FI
8059665,Achillea crithmifolia,Csa,Hot-summer Mediterranean climate,146,373,0.3914209115281501,2076-2100-A1FI
3134871,Catananche lutea,Csa,Hot-summer Mediterranean climate,189,216,0.875,2076-2100-A1FI
5617600,Alcea biennis,Csa,Hot-summer Mediterranean climate,230,283,0.8127208480565371,2076-2100-A1FI
10822357,Cistanche phelypaea,Csa,Hot-summer Mediterranean climate,254,448,0.5669642857142857,2076-2100-A1FI
5620382,Austrocylindropuntia cylindrica,Cfb,Temperate oceanic climate,146,417,0.3501199040767386,2071-2100_Beck
5620382,Austrocylindropuntia cylindrica,Cfb,Temperate oceanic climate,146,417,0.3501199040767386,2001-2025-A1FI
5620382,Austrocylindropuntia cylindrica,Cfb,Temperate oceanic climate,146,417,0.3501199040767386,2026-2050-A1FI
5620382,Austrocylindropuntia cylindrica,Cfb,Temperate oceanic climate,146,417,0.3501199040767386,2051-2075-A1FI
4272712,Ionopsidium acaule,Csa,Hot-summer Mediterranean climate,133,204,0.6519607843137255,2076-2100-A1FI
5414989,Digitalis lanata,Cfb,Temperate oceanic climate,75,344,0.2180232558139535,2071-2100_Beck
5326622,Tulbaghia violacea,Cfa,Humid subtropical climate,149,407,0.36609336609336607,2071-2100_Beck
5414989,Digitalis lanata,Cfb,Temperate oceanic climate,75,344,0.2180232558139535,2001-2025-A1FI
5414989,Digitalis lanata,Cfb,Temperate oceanic climate,75,344,0.2180232558139535,2026-2050-A1FI
5414989,Digitalis lanata,Cfb,Temperate oceanic climate,75,344,0.2180232558139535,2051-2075-A1FI
5326622,Tulbaghia violacea,Cfa,Humid subtropical climate,149,407,0.36609336609336607,2051-2075-A1FI
5587867,Silene fuscata,Csa,Hot-summer Mediterranean climate,167,193,0.8652849740932642,2076-2100-A1FI
5326622,Tulbaghia violacea,Cfa,Humid subtropical climate,149,407,0.36609336609336607,2076-2100-A1FI
3171189,Bacopa caroliniana,Cfa,Humid subtropical climate,294,390,0.7538461538461538,2071-2100_Beck
2768503,Asparagus densiflorus,Cfa,Humid subtropical climate,87,392,0.22193877551020408,2071-2100_Beck
3171189,Bacopa caroliniana,Cfa,Humid subtropical climate,294,390,0.7538461538461538,2051-2075-A1FI
2768503,Asparagus densiflorus,Cfa,Humid subtropical climate,87,392,0.22193877551020408,2051-2075-A1FI
8237138,Moenchia mantica,Csa,Hot-summer Mediterranean climate,83,295,0.28135593220338984,2076-2100-A1FI
3171189,Bacopa caroliniana,Cfa,Humid subtropical climate,294,390,0.7538461538461538,2076-2100-A1FI
2768503,Asparagus densiflorus,Cfa,Humid subtropical climate,87,392,0.22193877551020408,2076-2100-A1FI
5298086,Iris pallida,Cfb,Temperate oceanic climate,99,319,0.3103448275862069,2071-2100_Beck
