taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
3169358,Lysimachia thyrsiflora,Dfc,Subarctic climate,20316,80643,0.2519251515940627
3169358,Lysimachia thyrsiflora,Csb,Warm-summer Mediterranean climate,69,80643,8.556229306945426e-4
3169358,Lysimachia thyrsiflora,Dfb,Warm-summer humid continental climate,29461,80643,0.36532619074191186
3169358,Lysimachia thyrsiflora,Dfa,Hot-summer humid continental climate,531,80643,0.006584576466649306
3053201,Rorippa amphibia,Cfb,Temperate oceanic climate,67675,71966,0.9403746213489703
3169358,Lysimachia thyrsiflora,Cfc,Subpolar oceanic climate,151,80643,0.0018724501816648686
3053201,Rorippa amphibia,Dfb,Warm-summer humid continental climate,3527,71966,0.04900925437011922
3053201,Rorippa amphibia,Dfc,Subarctic climate,258,71966,0.0035850262624016896
3053201,Rorippa amphibia,NA,NA,73,71966,0.0010143678959508658
3169358,Lysimachia thyrsiflora,ET,Tundra,18,80643,2.2320598192031546e-4
3169358,Lysimachia thyrsiflora,NA,NA,508,80643,0.006299368823084459
8309061,Lysimachia thyrsiflora,Dwc,Monsoon-influenced subarctic climate,120,80643,0.0014880398794687698
8309061,Lysimachia thyrsiflora,Dwb,Monsoon-influenced warm-summer humid continental climate,33,80643,4.092109668539117e-4
3053201,Rorippa amphibia,Dfa,Hot-summer humid continental climate,61,71966,8.476224883972988e-4
3169358,Lysimachia thyrsiflora,Dsb,"Warm, dry-summer continental climate",12,80643,1.4880398794687698e-4
3169358,Lysimachia thyrsiflora,Csa,Hot-summer Mediterranean climate,2,80643,2.480066465781283e-5
3169358,Lysimachia thyrsiflora,BSk,Cold semi-arid (steppe) climate,8,80643,9.920265863125132e-5
3053201,Rorippa amphibia,BSk,Cold semi-arid (steppe) climate,33,71966,4.585498707723091e-4
3053201,Rorippa amphibia,Cfa,Humid subtropical climate,141,71966,0.001959258538754412
3169358,Lysimachia thyrsiflora,Dfd,Extremely cold subarctic climate,9,80643,1.1160299096015773e-4
3169358,Lysimachia thyrsiflora,Dsc,Dry-summer regular subarctic climate,31,80643,3.8441030219609883e-4
3169358,Lysimachia thyrsiflora,Cfa,Humid subtropical climate,31,80643,3.8441030219609883e-4
3053201,Rorippa amphibia,Csb,Warm-summer Mediterranean climate,20,71966,2.7790901258927826e-4
3053201,Rorippa amphibia,Csa,Hot-summer Mediterranean climate,159,71966,0.0022093766500847624
3169358,Lysimachia thyrsiflora,Dwa,Monsoon-influenced hot-summer humid continental climate,9,80643,1.1160299096015773e-4
3053201,Rorippa amphibia,Dwb,Monsoon-influenced warm-summer humid continental climate,1,71966,1.3895450629463913e-5
8309061,Lysimachia thyrsiflora,Dwd,Monsoon-influenced extremely cold subarctic climate,1,80643,1.2400332328906415e-5
3053201,Rorippa amphibia,Dsa,"Hot, dry-summer continental climate",1,71966,1.3895450629463913e-5
3169358,Lysimachia thyrsiflora,Am,Tropical monsoon climate,1,80643,1.2400332328906415e-5
3053201,Rorippa amphibia,Cfc,Subpolar oceanic climate,3,71966,4.1686351888391744e-5
3053201,Rorippa amphibia,Dfd,Extremely cold subarctic climate,7,71966,9.72681544062474e-5
3053201,Rorippa amphibia,Dwc,Monsoon-influenced subarctic climate,6,71966,8.337270377678349e-5
3169358,Lysimachia thyrsiflora,Aw,"Tropical savanna, wet",1,80643,1.2400332328906415e-5
3053201,Rorippa amphibia,Dsb,"Warm, dry-summer continental climate",1,71966,1.3895450629463913e-5
5339050,Sherardia arvensis,Csb,Warm-summer Mediterranean climate,2884,62927,0.04583088340457991
5339050,Sherardia arvensis,Csa,Hot-summer Mediterranean climate,8845,62927,0.14055969615586314
5339050,Sherardia arvensis,Cfb,Temperate oceanic climate,35621,62927,0.5660686191936689
2718117,Carex riparia,Cfb,Temperate oceanic climate,57580,64431,0.893669196504788
5339050,Sherardia arvensis,Cfc,Subpolar oceanic climate,43,62927,6.833314793331957e-4
5339050,Sherardia arvensis,NA,NA,685,62927,0.010885629380075326
5339050,Sherardia arvensis,Dfb,Warm-summer humid continental climate,3427,62927,0.054459929759880496
2718117,Carex riparia,Dfb,Warm-summer humid continental climate,5744,64431,0.0891496329406652
2718117,Carex riparia,NA,NA,266,64431,0.004128447486458382
2718117,Carex riparia,Csb,Warm-summer Mediterranean climate,118,64431,0.001831416554143192
2718117,Carex riparia,Cfa,Humid subtropical climate,93,64431,0.0014434045723331936
2718117,Carex riparia,Dfc,Subarctic climate,121,64431,0.0018779779919603917
5339050,Sherardia arvensis,Dfc,Subarctic climate,74,62927,0.0011759658016431739
5339050,Sherardia arvensis,Cfa,Humid subtropical climate,8261,62927,0.13127910118073324
2718117,Carex riparia,Csa,Hot-summer Mediterranean climate,370,64431,0.005742577330787975
5339050,Sherardia arvensis,BSk,Cold semi-arid (steppe) climate,2810,62927,0.04465491760293674
2718117,Carex riparia,Dfa,Hot-summer humid continental climate,40,64431,6.208191708959972e-4
5339050,Sherardia arvensis,ET,Tundra,45,62927,7.151143388370652e-4
5339050,Sherardia arvensis,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,28,62927,4.4496003305417387e-4
5339050,Sherardia arvensis,Dfa,Hot-summer humid continental climate,83,62927,0.001318988669410587
5339050,Sherardia arvensis,BWh,Hot deserts climate,13,62927,2.0658858677515216e-4
5339050,Sherardia arvensis,BWk,Cold desert climate,18,62927,2.8604573553482604e-4
2718117,Carex riparia,BSk,Cold semi-arid (steppe) climate,70,64431,0.0010864335490679952
5339050,Sherardia arvensis,Am,Tropical monsoon climate,2,62927,3.178285950386956e-5
5339050,Sherardia arvensis,BSh,Hot semi-arid (steppe) climate,71,62927,0.0011282915123873695
5339050,Sherardia arvensis,Aw,"Tropical savanna, wet",2,62927,3.178285950386956e-5
2718117,Carex riparia,ET,Tundra,15,64431,2.3280718908599897e-4
2718117,Carex riparia,Cfc,Subpolar oceanic climate,10,64431,1.552047927239993e-4
2718117,Carex riparia,Dwc,Monsoon-influenced subarctic climate,1,64431,1.5520479272399932e-5
5339050,Sherardia arvensis,Dsb,"Warm, dry-summer continental climate",11,62927,1.748057272712826e-4
5339050,Sherardia arvensis,Cwa,Monsoon-influenced humid subtropical climate,1,62927,1.589142975193478e-5
2718117,Carex riparia,BWk,Cold desert climate,2,64431,3.1040958544799864e-5
2718117,Carex riparia,Dsb,"Warm, dry-summer continental climate",1,64431,1.5520479272399932e-5
5339050,Sherardia arvensis,Af,Tropical rainforest climate,3,62927,4.7674289255804345e-5
2882398,Ceratophyllum demersum,Dwa,Monsoon-influenced hot-summer humid continental climate,40,66019,6.058861842802829e-4
2882398,Ceratophyllum demersum,Cfa,Humid subtropical climate,1050,66019,0.015904512337357426
7553098,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,36733,60913,0.6030404018846551
2882398,Ceratophyllum demersum,Dfa,Hot-summer humid continental climate,810,66019,0.012269195231675729
2882398,Ceratophyllum demersum,Dfb,Warm-summer humid continental climate,11890,66019,0.1800996682773141
2710941,Schoenoplectus lacustris,Dfb,Warm-summer humid continental climate,17989,60913,0.29532283748953425
2882398,Ceratophyllum demersum,Cfb,Temperate oceanic climate,48470,66019,0.7341825838016328
2882398,Ceratophyllum demersum,Aw,"Tropical savanna, wet",530,66019,0.008027991941713749
2710941,Schoenoplectus lacustris,Cfc,Subpolar oceanic climate,249,60913,0.004087797350319308
2882398,Ceratophyllum demersum,ET,Tundra,11,66019,1.6661870067707782e-4
2882398,Ceratophyllum demersum,Dfc,Subarctic climate,803,66019,0.01216316514942668
2710941,Schoenoplectus lacustris,Dfc,Subarctic climate,4473,60913,0.07343260059429021
2882398,Ceratophyllum demersum,NA,NA,229,66019,0.0034686984050046198
2710941,Schoenoplectus lacustris,ET,Tundra,40,60913,6.566742731436639e-4
2882398,Ceratophyllum demersum,BSh,Hot semi-arid (steppe) climate,178,66019,0.002696193520047259
2710941,Schoenoplectus lacustris,NA,NA,181,60913,0.002971451085975079
2882398,Ceratophyllum demersum,Af,Tropical rainforest climate,83,66019,0.0012572138323815871
2882398,Ceratophyllum demersum,Csa,Hot-summer Mediterranean climate,675,66019,0.010224329359729774
2882398,Ceratophyllum demersum,BSk,Cold semi-arid (steppe) climate,460,66019,0.0069676911192232535
2882398,Ceratophyllum demersum,BWh,Hot deserts climate,44,66019,6.664748027083113e-4
2710941,Schoenoplectus lacustris,Dwa,Monsoon-influenced hot-summer humid continental climate,1,60913,1.6416856828591598e-5
2882398,Ceratophyllum demersum,Cfc,Subpolar oceanic climate,14,66019,2.1206016449809903e-4
2710941,Schoenoplectus lacustris,Csb,Warm-summer Mediterranean climate,87,60913,0.001428266544087469
2882398,Ceratophyllum demersum,Csb,Warm-summer Mediterranean climate,419,66019,0.006346657780335964
7263172,Ceratophyllum demersum,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,67,66019,0.001014859358669474
2882398,Ceratophyllum demersum,Dsb,"Warm, dry-summer continental climate",22,66019,3.3323740135415565e-4
2882398,Ceratophyllum demersum,Am,Tropical monsoon climate,78,66019,0.0011814780593465517
2882398,Ceratophyllum demersum,Dwc,Monsoon-influenced subarctic climate,32,66019,4.8470894742422635e-4
2710941,Schoenoplectus lacustris,Dfa,Hot-summer humid continental climate,53,60913,8.700934119153546e-4
2710941,Schoenoplectus lacustris,Csa,Hot-summer Mediterranean climate,541,60913,0.008881519544268055
2882398,Ceratophyllum demersum,BWk,Cold desert climate,33,66019,4.998561020312334e-4
2882398,Ceratophyllum demersum,Cwa,Monsoon-influenced humid subtropical climate,42,66019,6.36180493494297e-4
7553098,Schoenoplectus lacustris,Cwa,Monsoon-influenced humid subtropical climate,7,60913,1.1491799780014119e-4
2710941,Schoenoplectus lacustris,Dsb,"Warm, dry-summer continental climate",2,60913,3.2833713657183197e-5
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,91,60913,0.0014939339714018355
2710944,Schoenoplectus lacustris,Dwc,Monsoon-influenced subarctic climate,49,60913,8.044259846009883e-4
2710941,Schoenoplectus lacustris,BSk,Cold semi-arid (steppe) climate,142,60913,0.0023311936696600068
2710944,Schoenoplectus lacustris,Dfd,Extremely cold subarctic climate,4,60913,6.566742731436639e-5
7553098,Schoenoplectus lacustris,BWh,Hot deserts climate,6,60913,9.850114097154959e-5
2882398,Ceratophyllum demersum,Dwb,Monsoon-influenced warm-summer humid continental climate,15,66019,2.272073191051061e-4
2882398,Ceratophyllum demersum,Dsc,Dry-summer regular subarctic climate,17,66019,2.5750162831912024e-4
7553098,Schoenoplectus lacustris,BWk,Cold desert climate,5,60913,8.208428414295799e-5
7553098,Schoenoplectus lacustris,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,4,60913,6.566742731436639e-5
7553098,Schoenoplectus lacustris,Am,Tropical monsoon climate,5,60913,8.208428414295799e-5
7553098,Schoenoplectus lacustris,As,Tropical dry savanna climate,1,60913,1.6416856828591598e-5
